"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 08","63,014,000","59,125,000","63,407,000","57,942,000","14.66K","6.57%"
"2024- 01- 07","59,128,000","59,312,000","59,849,000","58,661,000","33.02K","-0.33%"
"2024- 01- 06","59,322,000","59,363,000","59,482,000","58,635,000","26.78K","-0.06%"
"2024- 01- 05","59,357,000","59,477,000","59,697,000","57,670,000","20.72K","-0.18%"
"2024- 01- 04","59,467,000","58,531,000","60,134,000","57,425,000","21.53K","1.59%"
"2024- 01- 03","58,534,000","60,254,000","60,755,000","55,198,000","15.81K","-2.85%"
"2024- 01- 02","60,254,000","58,866,000","61,000,000","58,846,000","13.24K","2.35%"
"2024- 01- 01","58,872,000","57,073,000","58,882,000","57,058,000","11.87K","3.14%"
"2023- 12- 31","57,077,000","56,695,000","57,414,000","56,482,000","8.60K","0.68%"
"2023- 12- 30","56,694,000","56,427,000","57,109,000","56,055,000","6.09K","0.48%"
"2023- 12- 29","56,422,000","56,819,000","57,300,000","55,967,000","7.12K","-0.70%"
"2023- 12- 28","56,818,000","57,922,000","58,348,000","56,618,000","4.80K","-1.89%"
"2023- 12- 27","57,913,000","57,001,000","58,184,000","56,352,000","4.04K","1.60%"
"2023- 12- 26","56,999,000","58,073,000","58,121,000","56,365,000","10.84K","-1.85%"
"2023- 12- 25","58,073,000","58,022,000","58,569,000","57,510,000","6.90K","0.13%"
"2023- 12- 24","58,000,000","59,201,000","59,566,000","57,978,000","2.96K","-2.03%"
"2023- 12- 23","59,202,000","59,500,000","59,602,000","58,904,000","1.07K","-0.51%"
"2023- 12- 22","59,504,000","59,363,000","60,069,000","58,939,000","0.75K","0.25%"
"2023- 12- 21","59,355,000","59,200,000","59,860,000","58,773,000","1.21K","0.27%"
"2023- 12- 20","59,194,000","57,717,000","59,793,000","57,471,000","1.42K","2.56%"
"2023- 12- 19","57,717,000","58,052,000","58,890,000","57,086,000","1.02K","-0.59%"
"2023- 12- 18","58,062,000","56,647,000","58,154,000","55,023,000","1.23K","2.49%"
"2023- 12- 17","56,649,000","57,833,000","57,870,000","56,578,000","0.82K","-2.06%"
"2023- 12- 16","57,840,000","57,901,000","58,343,000","57,491,000","0.70K","-0.11%"
"2023- 12- 15","57,903,000","58,558,000","58,764,000","57,488,000","0.93K","-1.12%"
"2023- 12- 14","58,558,000","58,950,000","59,226,000","57,788,000","0.93K","-0.67%"
"2023- 12- 13","58,955,000","57,500,000","59,838,000","56,410,000","1.77K","2.51%"
"2023- 12- 12","57,510,000","56,861,000","58,152,000","56,560,000","1.20K","1.14%"
"2023- 12- 11","56,861,000","59,822,000","59,869,000","55,388,000","1.98K","-4.95%"
"2023- 12- 10","59,823,000","60,038,000","60,199,000","59,615,000","0.52K","-0.36%"
"2023- 12- 09","60,039,000","60,132,000","60,336,000","59,672,000","0.61K","-0.14%"
"2023- 12- 08","60,126,000","59,161,000","60,656,000","58,602,000","1.24K","1.62%"
"2023- 12- 07","59,166,000","60,191,000","60,786,000","58,712,000","0.89K","-1.70%"
"2023- 12- 06","60,190,000","60,246,000","60,859,000","59,650,000","0.92K","-0.09%"
"2023- 12- 05","60,247,000","56,822,000","60,773,000","55,931,000","2.67K","6.04%"
"2023- 12- 04","56,815,000","53,707,000","57,341,000","53,693,000","1.46K","5.81%"
"2023- 12- 03","53,695,000","52,586,000","53,761,000","52,509,000","0.94K","2.11%"
"2023- 12- 02","52,585,000","51,718,000","52,775,000","51,623,000","0.92K","1.70%"
"2023- 12- 01","51,706,000","50,541,000","51,980,000","50,430,000","0.74K","2.31%"
"2023- 11- 30","50,539,000","50,715,000","50,890,000","50,371,000","0.65K","-0.34%"
"2023- 11- 29","50,713,000","50,500,000","51,130,000","50,353,000","0.98K","0.42%"
"2023- 11- 28","50,500,000","50,241,000","51,000,000","49,500,000","1.76K","0.51%"
"2023- 11- 27","50,242,000","50,224,000","50,408,000","49,440,000","1.50K","0.03%"
"2023- 11- 26","50,225,000","50,527,000","50,562,000","49,984,000","1.39K","-0.60%"
"2023- 11- 25","50,527,000","50,574,000","50,763,000","50,313,000","1.17K","-0.09%"
"2023- 11- 24","50,574,000","49,886,000","51,245,000","49,858,000","1.47K","1.39%"
"2023- 11- 23","49,879,000","49,993,000","50,150,000","49,400,000","1.56K","-0.22%"
"2023- 11- 22","49,989,000","48,442,000","50,401,000","48,372,000","2.07K","3.14%"
"2023- 11- 21","48,469,000","50,148,000","50,309,000","48,469,000","2.62K","-3.35%"
"2023- 11- 20","50,150,000","49,785,000","50,297,000","49,373,000","1.83K","0.73%"
"2023- 11- 19","49,785,000","49,166,000","49,973,000","48,933,000","1.40K","1.27%"
"2023- 11- 18","49,162,000","49,389,000","49,429,000","48,855,000","1.01K","-0.46%"
"2023- 11- 17","49,390,000","48,873,000","49,428,000","48,544,000","2.05K","1.06%"
"2023- 11- 16","48,873,000","50,462,000","50,642,000","48,104,000","2.29K","-3.15%"
"2023- 11- 15","50,462,000","47,996,000","50,539,000","46,984,000","2.45K","5.13%"
"2023- 11- 14","48,000,000","49,115,000","49,611,000","47,543,000","2.51K","-2.27%"
"2023- 11- 13","49,115,000","49,418,000","49,776,000","48,917,000","2.23K","-0.61%"
"2023- 11- 12","49,418,000","49,674,000","49,780,000","49,219,000","1.71K","-0.52%"
"2023- 11- 11","49,677,000","50,069,000","50,132,000","49,273,000","1.35K","-0.77%"
"2023- 11- 10","50,061,000","49,385,000","50,246,000","48,769,000","1.48K","1.37%"
"2023- 11- 09","49,382,000","47,423,000","50,238,000","47,389,000","3.03K","4.13%"
"2023- 11- 08","47,425,000","47,324,000","47,888,000","46,882,000","1.92K","0.22%"
"2023- 11- 07","47,322,000","46,789,000","47,678,000","46,254,000","1.82K","1.14%"
